batch_idx,label,pred,correct,sentence,logits_0,logits_1
6868,1,1,True,"In a bizarre experiment, an astronaut is abandoned on the moon as Alice (Florinda Bolkan), a troubled translator living in Italy, wakes from a nightmare about a lunar mission mixed with an old movie that frightened her as a child. She also has no recollection of the last three days except for a torn photo of the Garma hotel she finds in her apartment. Fired from her job, Alice heads to that resort island to try and piece together the mystery...<br /><br />Often touted as a giallo due to it's director (THE FIFTH CORD's Luigi Bazzoni) and the presence of Evelyn Stewart, Nicoletta Elmi, and Klaus Kinski, FOOTPRINTS is actually a deliberately paced psycho-thriller with sci-fi overtones. Blurring the distinction between dream, reality, memory and movies, the disturbing story is beautifully photographed by Oscar-winner Vittorio Storaro with a pensive score by Nicola Piovani. It also combines elements of such diverse films as Armando Crispino's MACCHE SOLARI and Lucino Visconti's DEATH IN VENICE in it's depiction of alienation, isolation, hallucination, and maybe madness. Brazilian actress Florinda Bolkan, on screen all the time, does a redux of her Carol Hammond in Lucio Fulci's A LIZARD IN A WOMAN'S SKIN as Alice, a young woman thrust into a mystery that makes her question her sanity. The locations mirror Alice's unstable state of mind; the island of Garma, off-season, with it's Arabic influence and ancient ruins, is a lonely, almost mystical place unwilling to give up its secrets. Evelyn Stewart has a bit in the beginning as a concerned friend, Nicoletta Elmi and Oscar-winner Lila Kedrova are hotel guests, Peter McEnery plays a handsome biologist trying to help Bolkan, and the ever-intense Klaus Kinski is ""Blackmann"" in the film-within-a-film, ""Footprints On The Moon"". <br /><br />FOOTPRINTS is a classy case of ""Guaranteed 100% Euro-weird"" but not for everyone. There's only one murder toward the end but you won't see it coming as the film starts to come together.",2.0027762559493567e-07,0.9999997615814209
24016,0,0,True,"The main problems of 'Saw' are related to the tremendous script mistakes that only a uncritical spectator will just obviate. The main question is what's is the purpose of the killer in his lying in the middle of the floor? The film tries to show that the killer's aim is to cause evil and destruction in his victims, he loves to play with the lives of other people and to feel control over their the fears and debilities. So why does he just pretend to be dead between the two main characters? A tremendous unlikelihood: can a man pretend to be dead for more than one or two hours without moving a single muscle or even without breathing in order not to be discovered by two men who are in the same room? It has not sense at all except to be the final (d)effect of the movie. The killer seems to have always the control along the plot and if it's lying like a dead body this can't be possible. Finally, it doesn't work. The right place for the killer should have been a darker and untouchable shadow behind the false shadow (the male nurse) but not the floor of the white room. The director shouldn't have showed the killer's face and maybe the site where he is hidden. Then, the film would be a quite good thriller. However, 'Saw' is just a fiasco. Hitchcock, please, come back.",1.0,7.317255934153395e-28
9668,1,1,True,"It's one of my favorite movies as much because of the location and music as the story line. Don't matter how many times I watch it, it doesn't seem to ever get old. I can almost say all the lines along with the characters now. The movie is supper funny and really sweet.",7.333344441949347e-15,1.0
13640,0,0,True,"How in the world does a thing like this get into my DVD player at home? How does it even get to be packaged and distributed? Are there absolutely zero screenings a movie (and I use that term loosely) have to go through before it's put on a video store's shelf anymore? I'm all for DIY film making but come on! That doesn't entitle me to get a group of my friends and relatives together, a crappy camcorder, an awful story and put it all together to create a heaping pile of crap and call it a movie. And I wish people would quit using the words ""Indie"" and ""Campy"" to describe these types of movies. They're not either. In no other profession would something like this be considered acceptable. If someone tried to sell you car that was as bad as this movie, you'd take it back and say it was a lemon. If it was a surgical procedure, you'd be suing the doctor for malpractice. I wish I could get my time and money back after watching this. Shame on the video stores who stock movies like these. They're a rip-off to the public. You want ""campy""? Go get any of the Friday the 13th movies (even the LATER ones) or Dead-Alive. At least those don't make you want to kill yourself. It's because of movies like this that make people automatically equate independent with garbage.",1.0,1.1393289867100975e-08
14018,0,0,True,"When A Killer Calls has got to be the biggest ripoff released by Asylum so far. It's about a sexy babysitter on duty who receives spooky calls from a creepy voice who asks her repeatedly, ""Have you checked the girl?"" Naturally she has the calls traced by the cops (after having to perform some realistically unnecessary tasks -- hanging up when ""he"" calls, waiting ten seconds, and dialing *57). Sound familiar? Yeah, that's why I rented it, too.<br /><br />Well, it should. And I hate to say it, but this could've been more entertaining than the big-screen crapfest that was released around the same time if not for one fatal mistake -- Rather than revelling in B-movie ripoff glory, it tried to do something original. It tried to make the lead character sympathetic, rather than having clichéd, campy fun with her. Mind you, this could've worked with a talented actress. But she wasn't. Sure, she looked good, and she screamed, and cried, but . . . oh well, whatever.<br /><br />Then came the horrific ending. Not horrific in that it was horrifying, horrific in that it was BORING. The pacing up until that point (about an hour in) was campy, clichéd, and fun. Then it heads in another direction, and it veers away from just another dumb, fun slasher movie with a sexy ""teenage"" cast to a Hostel-esquire gore/borefest.<br /><br />I guess this falls into the ""Oh well, whatever"" category. The lead actress flubbed a line? Oh well, whatever, I don't feel like reshooting it. We forgot to give the killer motivation? Oh well, whatever, I don't feel like rewriting it. The pacing completely changes halfway through? Oh well, whatever, I don't feel like shaving fifteen minutes off. Continuity errors? Oh well, whatever.<br /><br />If you like this kind of movie (dumb, cheesy, predictable, campy splatter movie with sexy cast), then you'll be fine up until the ending. The ending is stupid, it's not fun, it's not scary, it's not campy or cheesy or quickly-paced. In fact, there was almost exactly five minutes of the character doing nothing but being tied up (and that's not a spoiler because it's on the back of the DVD) and looking around at the stuff in the room, then screaming, and . . . whatever.",1.0,2.3170585076606907e-21
7488,1,1,True,"That's certainly not the best film ever. But that's certainly worth seeing for people with a special kind of mind. So the one who loves sadness and depression, and scary fairy-tales at night, and wolves and real madness - welcome! If you find a copy, of course:) As for me, I could stand it only once... But since that the Wolves, and Saint-Lucy, and children's drawings, and a headless Christ live in my nightmares.",0.025036705657839775,0.974963366985321
5804,1,1,True,"FIVE STAR FINAL was one of the best films of the early 1930s. It starred Edward G. Robinson and was a very gritty story about a sleazy newspaper and their willingness to do anything...ANYTHING to sell newspapers. In particular, an old story of an innocent woman is plastered across the pages and helps to destroy her now happy life--many years after she was inadvertently involved in a scandal. The reason I loved the film so much was that it was unflinching and pulled no punches--showing just how low the publishers can be to sell papers.<br /><br />Here in TWO AGAINST THE WORLD, it is a remake of FIVE STAR FINAL--with a few changes. Instead of Robinson, this film stars Humphrey Bogart and he is the head of programming at a radio station, not a newspaper. Otherwise, the story is essentially the same--except that it's a bit less edgy and lacks some of the grit and sensationalism of the original. This isn't to say the film is bad--it just doesn't pack quite as good a punch as the first film. In other words, if you must see one of these films, see the first--though this film is quite powerful and enjoyable as well. As for me, I loved the story so much, I saw both films and enjoyed them both.<br /><br />TWO AGAINST THE WORLD begins with the UBC radio owner complaining to his programming head (Bogart) that all the ""high brow"" shows he's put on are getting low ratings. The owner demands muck--lots of muck in order to get more listeners. One way they discuss is to do a multi-part dramatization of a famous killing that occurred two decades ago--even though the killer was acquitted and she killed only in self-defense. However, they decide to play up the story as if she was guilty and they even go so far as to both send a writer to the lady's home pretending to be a minister(!) as well as broadcasting her current name and whereabouts. Needless to say, this ruins the woman and leads to a horrible tragedy. Then, and only then, does Bogart feel any real remorse for producing such garbage--leading to a dandy finale about journalistic integrity and decency.<br /><br />Well-acted, a great story idea and a message that is just as important today as it was back in the 1930s, this is one story you have to see. In particular, notice the wonderful and very emotional confrontation scene where the daughter attacks the owner and Bogart---it is one heck of a great example of acting and writing.",6.5996071454965666e-12,1.0
12909,0,0,True,"This is one of the most unoriginal, cliche-ridden movies I have ever seen. Even if you didn't like this film's antecedents, 'The Bad News Bears' and 'The Mighty Ducks,' they are bound to have done a better job than this one. From the moment the new teacher greets her class and they tell her, ""Don't bother with us, we're all losers,"" you can see everything that's coming twenty miles away for the rest of the film. <br /><br />All the usual suspects are here. Besides the spunky teacher, we have a group of what are supposed to be endearingly bratty kids (they're brats, yes, but no so endearing), a slow-witted small town sheriff that they love to torment, an arrogant head coach of the winning rival team, etc., ad nauseum. Only Olivia d'Abo as the new teacher displays any likabilty. I never cared much for Steve Guttenberg before and his performance as the sheriff doesn't change things. Jay O. Sanders is a capable actor but his character, the rival coach, leaves him nothing to work with. Let's hope that writer/director Holly Goldberg Sloan comes up with something better next time out.",1.0,1.6800982153292589e-15
3386,1,1,True,"Do you like explosions? How about fighting? Well, this movie has both of those. You know the other thing you can't have a movie without: a kick ass motorcycle, the type that bounces off someone's head and knocks them out at the same time. You bet the Stabilizer has one. There's even a classic cliff scene.<br /><br />All in all, I'm quite proud that I have even seen this movie...and even prouder to have my review be the first one...YES!",2.0993084035580978e-05,0.9999790191650391
9567,1,1,True,"Clouzot followed Le Corbeau, where no one knew who was penning the poison thus everyone was suspected, with another masterpiece, Quai des Orfevres four years later in which we know from the outset (or think we do) whodunnit. Top-billed Louis Jouvet doesn't appear for forty minutes by which time Clouzot has established a rich milieu of Music Hall, music publishers, etc and a fine cast of colourful characters; Angela Lansbury lookalike (Lansbury appeared in Woman of Paris that same year) Suzy Delair scores as the chanteuse whose desire to improve her lot inspires the jealousy of her husband/accompanist Bernard Blier who follows her to the home of an elderly letch only to find he is already dead. From here things go seriously wrong, his car is stolen before he leaves the premises so his pre-arranged alibi is out the window whilst meanwhile, unknown to him, his wife confesses to the murder to the photographer neighbour, a closet lesbian in love with her, who volunteers to return to the crime scene and retrieve Delair's scarf and as long as she's there,thoughtfully wipes her prints of the murder weapon, a champagne bottle. At this point investigator Jouvet gets involved and from then on it's a case of keeping the plates spinning in the air. Clouzot's output was relatively small but virtually all of it was, as Spencer Tracey said in another context, 'cherce', with Le Salaire de peur and Les Diaboliques still to come. In short this is a must for French cinema buffs.",1.2138090012270286e-12,1.0
